Comments,Label
വിശുദ്ധ മലം പെണ്ണുമ്പിള്ളേ നീ ആണി അടിച്ചു 🔥,1
Aadyam ath parayan padik,0
അത് പൊക്കി കാണിക്കാനും വേണം തൊലിക്കട്ടി 🙏അപാരം.....,1
Ethoke namall boys ettal ulla avastha😂😂😂,0
Ororo peladi makkal,1
Onn poyeda myre,1
Myyr .. orannem kathikkatte,1
Myru poda myre 😂,1
Aaarakkum manasillayillla,0
Puthiya vanam irangiyitttnd,1
Ith enth thenga aan,1
2 kilavanmaarum koode fans undakaan sramikunu,1
Athu Polichu Mone,0
സായിപ്പ് പൊളിച്ചു.kollada മക്കളെ,0
ഈ കവട്ട മൈരന് പറ്റിയ ജോലി ഇതാണ് 😂,1
എടാ കാട്ടു കോഴീ😂😂,1
nee kunna njan nallavan ❤️,1
Ayin aareyum vicharichilla,0
അമ്പട കുണ്ണെ 👏,1
വീണിടത്തു കിടന്നു ഉരുളാണ്ട് എണീച്ചു പോ മൈരേ..,1
Lal real chiri anu athu frameill vannu,0
Ith nammude vijayam,0
Eeswara lalettanano ith,0
മൈരന്റെ അഭിനയം🔥,1
Sathyam parayubol palarkum pidikila,0
ചാണക സ്റ്റോറി,1
തൂറി തോൽപ്പിക്കുക 😂,1
സംഘികൾക്ക് അല്ലാതെ ആർക്ക് വേണം 💩,1
Empuraan ne cinimayi kananm ennu parnjavr ithu agne kandal mathi😂👍🏻,0
സുടാപ്പികൾ മുഴുവനും തൂറി മെഴുകുന്നു🤣🔥,1
Ethine onnum stop cheyan oru strikeum Elle????,0
എന്റെ പൊന്നു ചങ്ങായി ആ മൈരനെ തനി ബ്രതാണ്,1
Eee myran enthinte kutty aanavo😂,1
Andi murikaatha kunden pregnant aayaa 😂,1
പറയാൻ നാണമിലെ പു മോനെ,1
ശാസ്ത്രം തോറ്റ് പുണ്ടച്ചി മോൻ ജയിച്ചു 😦😦💥,1
ഇനി ഒരു മാസം കോൽ കളി ഉണ്ടാകില്ല 🙏🙏,1
എന്തൊക്കെ ഈ കുണ്ടൻ നാറി പറയുന്നത്,1
അത് അങ്ങനെ കുറെ എണ്ണം 😂,0
angane kore vaanangal 🥲👍🏻,1
Kore ennathinod paranjittund,0
yendhaa undaye Njan onnum arinjilla ,0
ഒന്ന് പറഞ്ഞ് രണ്ടിന് തന്തക്ക് വിളി ആണല്ലോ മോളെ നീ തിരിച്ച് തലമുറയ്ക്ക് ഉള്ളത് തരാൻ അറിയഞ്ഞിട്ട് അല്ല കൊട്ടോടി,1
enna pne Nadakkana angleil phot edknm 🙂,0
Eee thittathini pattpadan ariyilla Apala eyaal 😂👏,1
കഴപ്പ് അങ്ങ് തീർന്നു,1
Njan eth shaarekkum anubhavechet ondd🙂💯,0
Athipoo labhayillo😂,0
Thallu umbo mayathil thallanam,0
എന്താ മോളെ ഉറുമ്പ് കടിച്ചോ നിനക്ക് 😂,1
ഇത് ഇത്ര ചിരിച്ചു തള്ളുന്നതാണ് നമ്മുടെ ഒക്കെ കുഴപ്പം.. 😮,0
ഈ അലാറം കേകുമ്പന്നെ... വേഗം സൈഡ് button അമർത്തും..😂,0
എന്തോരം ആൾകാര എന്റെ തന്തക്ക് വിളിക്കുന്നെ 😂,1
മറ്റെ മൈരൻ ഇവൻറ പുക കണ്ടെ അടങ്ങു.,1
നീ ഒരു നാൾ കരയേണ്ടി വരും 📈,1
മോട്ടോർ എന്നൊക്കെ പറഞ്ഞാ... കുറഞ്ഞ് പോവും😂ജനറേറ്റർ,0
കഴിവ് ഇല്ലാത്തവനോട് കഴിവ് ഇല്ല എന്ന് തന്നെ പറയണം😭,0
Face marakan padillarnn ennale ivanmar pdiku,0
പെട്ടന്ന് കണ്ടപ്പോൾ പേടിച്ചു 🙂,1
